Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-477.55157578182065,-477.55157578182065,-521.9113611804286,-521.9113611804286,-521.9113611804286
-479.0184418712371,-479.0184418712371,-494.2149835623525,-494.2149835623525,-466.5186059442764
-479.07150510474855,-479.07150510474855,-470.81399776187624,-470.81399776187624,-424.0120261609238
-480.01687235605357,-480.01687235605357,-476.25756046987465,-476.25756046987465,-424.0120261609238
-471.9945521731537,-471.9945521731537,-477.6362730644736,-477.6362730644736,-424.0120261609238
-474.2096950828207,-474.2096950828207,-485.4200266552732,-485.4200266552732,-424.0120261609238
-476.0656192386507,-476.0656192386507,-488.7353960234832,-488.7353960234832,-424.0120261609238
-482.2301978801022,-482.2301978801022,-485.9979943111209,-485.9979943111209,-424.0120261609238
-479.3514766341333,-479.3514766341333,-483.7938374248597,-483.7938374248597,-424.0120261609238
-473.6848242201873,-473.6848242201873,-481.69400936371585,-481.69400936371585,-424.0120261609238
-479.39961846502393,-479.39961846502393,-472.7298536692341,-477.2008998066154,-424.0120261609238
-475.7128173204252,-475.7128173204252,-477.25899290752676,-480.08499134999767,-424.0120261609238
-472.2775955420231,-472.2775955420231,-476.69587966783047,-475.3385223049179,-418.3808937639602
-477.95937067215806,-477.95937067215806,-474.21861977816235,-474.80117426150866,-418.3808937639602
-474.449360166435,-474.449360166435,-473.2908937969487,-474.73935355279025,-418.3808937639602
-478.64629259417825,-478.64629259417825,-471.1111554052427,-476.47698212400405,-418.3808937639602
-474.62788335190834,-474.62788335190834,-463.17659078009154,-473.700804703841,-418.3808937639602
-479.62126206975904,-479.62126206975904,-465.2311094661551,-474.46083606391767,-418.3808937639602
-478.7938534156992,-478.7938534156992,-467.6056585101866,-475.2737432592423,-418.3808937639602
-479.36079654900624,-479.36079654900624,-470.2729165659513,-475.9834629648336,-418.3808937639602
-479.81513164635703,-479.81513164635703,-473.7295543748487,-475.5478781724408,-418.3808937639602
-475.720824405511,-475.720824405511,-470.6480361772732,-475.79546627148653,-418.3808937639602
-479.7693172301816,-479.7693172301816,-476.1707783994883,-475.7003727808181,-418.3808937639602
-475.85996817911524,-475.85996817911524,-471.84286049446445,-473.56854352524033,-418.3808937639602
-478.409701355164,-478.409701355164,-471.2885515803279,-473.3590327638054,-418.3808937639602
-483.37789835336486,-483.37789835336486,-468.55301312043457,-473.42930173801585,-418.3808937639602
-481.9479142508785,-481.9479142508785,-473.44586389210644,-473.60638218097637,-418.3808937639602
-487.3357912347426,-487.3357912347426,-475.1940047324034,-474.72268201694834,-418.3808937639602
-487.09454829794754,-487.09454829794754,-465.5859608607564,-471.93312863907477,-393.82563405861595
