Epoch,Epoch Reward,Avg Reward (last 10)
10,7.185852099763448,48.547479148135146
20,10.230271189100076,25.265476952831794
30,40.477695224035934,35.049720069702964
40,51.71511998520034,45.96223520026045
50,-2.2249229481627495,39.63586208596449
60,74.84747303042397,40.682981706149874
70,79.83622400943071,50.174253274452646
80,62.74674951328544,34.72271704923302
90,75.27737433223407,55.708882388488576
100,8.954838122404041,38.19062433017711
110,32.26488749736282,13.263814315176012
120,62.17264299824624,47.553738913139206
130,65.4273810336372,45.62056614678387
140,61.97005761709982,44.82145018884326
150,-0.01283632287698211,50.720180162922006
160,15.270995667555937,34.894448728923145
170,67.41810926675609,38.77409684359391
180,48.561572356243595,41.67482592452501
190,-6.473373205119742,26.66710898776795
200,95.99753491296198,44.1844507844581
210,38.80665255291636,14.821482280228626
220,50.44403159599349,48.50322450905564
230,16.10245953273439,33.97934367835936
240,86.41215471340857,48.48900606150022
250,16.270103345520923,52.137095951776146
260,26.190251947929994,37.04846974835354
270,69.94095454604002,45.57045776430259
280,80.1931314628336,47.79075067717388
290,33.85326858149491,36.564899210241634
300,88.73395658531959,60.39759383799965
310,-24.226146765232528,29.056285723748534
320,25.685137657849722,43.2257944896969
330,65.79897305964914,38.656873948505414
340,44.65211270569492,34.6470064371198
350,-6.100781417954099,39.65324001727198
360,5.188093733408511,52.62796026434652
370,36.982043195648494,55.2545266398695
380,14.868608558573445,43.95831095520556
390,69.48625295762264,39.71450522011174
400,68.86235088003323,42.274148232085324
410,56.76216084104837,42.45294833194181
420,11.895471234095112,35.538338567062965
430,58.0372150611253,38.181759859784854
440,8.284462877592478,31.507017535877775
450,38.56517888098013,26.990735688851554
460,81.11812192887132,34.28516807966876
470,75.6569334200348,41.07493058065408
480,69.6958671298998,32.35337253912021
490,63.62004491081109,29.887237573317304
500,50.340197208220346,33.85109015157728
510,88.77522956055188,29.462467758806383
520,2.691989649984862,22.068416102317826
530,58.94228061319502,53.340416920868336
540,24.913598097703336,37.165335301007715
550,13.75350323288244,33.357974203544536
560,6.876786866888725,40.98753063478818
570,23.940188315860773,36.991005309227695
580,7.036148853893199,33.278450927937676
590,26.742617035145066,30.889562103742765
600,12.355514753653509,21.432900675029977
610,90.91502180283086,52.76656252200022
620,4.131959169205604,38.53280657703221
630,33.28568994808402,42.37470083406598
640,32.38279967299038,31.107962642982425
650,45.417203017759306,51.338088895156375
660,29.411461822886828,54.28721638360729
670,-9.638022525211884,27.51218941925032
680,93.59880441627558,54.40299413305896
690,69.72520922106506,44.1974240720044
700,82.6052908117505,56.261710615258096
710,10.62014251653391,42.54317167506979
720,26.93618017457124,50.6038325802157
730,47.80837339660774,46.72016921546931
740,10.576250793878025,27.956348713290634
750,41.52171179433004,37.942994075511294
760,23.25686254970361,45.38353698238483
770,59.52394312755403,43.82575157930834
780,25.75561568870021,24.31421074503779
790,14.754229215020707,38.409781018612165
800,60.39902931246817,48.527407026869675
810,8.939800794930797,47.48125195065606
820,42.63331397852565,21.327628308735534
830,-35.04703423917828,43.94412715527481
840,12.91470055548099,43.14539367951519
850,43.52489577898936,27.149733456822382
860,19.08223763580777,36.2087934898975
870,24.527093651341342,42.97654817337487
880,14.54843623567561,40.79549885211687
890,-0.086120713206288,36.84824182332277
900,90.08552681183721,34.977972390058106
910,13.940476794811392,43.32342445670035
920,14.365072610548964,33.930346544687026
930,60.967064439706654,48.6803147401727
940,51.41632579129795,35.628725191264195
950,28.439555272382776,49.82546161553212
960,58.914207314879945,48.59550984697048
970,103.37672944841133,56.85794672807877
980,13.171149948353452,56.523982843110204
990,-23.727299000655517,41.57401099093609
1000,18.020501110078122,43.70403332864815
1010,-1.0541453748748957,28.15426025585265
1020,25.717617535771687,50.12759762295281
1030,-30.29034871661529,44.43492762915241
1040,48.59996057151616,49.365860319394656
1050,11.02418502616726,34.24147944503217
1060,86.10861161219808,49.341070853860046
1070,73.8205271813294,51.62810209562233
1080,17.575676163685156,35.57766078562063
1090,4.614812703445033,29.290493469791375
1100,110.91158787207358,40.5252118245995
1110,44.24638224634714,37.90934676293752
1120,82.52918772065736,56.20089352617987
1130,13.615899086593824,36.21327309648903
1140,78.17367517578865,38.98505291253393
1150,40.622107151383055,40.64333533195276
1160,84.60346127563,49.146062910264675
1170,75.20839762764842,24.202892088155544
1180,61.958192601374904,45.05753496354863
1190,22.972468935314946,16.534659653305223
1200,17.13519655692637,25.65212230965718
1210,59.22411172886466,48.41296334041148
1220,44.352078663225555,35.31732098405135
1230,92.17799532107077,41.573828625535086
1240,74.59191793972289,51.77073264742031
1250,32.10481005702383,44.78789232935571
1260,1.9057669033229843,40.55459839356754
1270,35.22615040803533,34.57133588418293
1280,53.946798467109836,28.00170029735002
1290,-12.360011976482454,35.19816364590331
1300,61.84927360452399,29.962886148762834
1310,60.80592876268006,35.50769546222328
1320,41.94530230500534,44.73538106731897
1330,58.51490582774102,36.3942733966504
1340,-0.525294804551546,42.343884343401434
1350,21.087084122384667,46.14858674096435
1360,48.35883898321655,28.36534887469578
1370,-4.137737613101603,23.864354393313313
1380,-2.7035524404482594,37.93349135108961
1390,30.2011764128495,56.520884473313444
1400,55.23395236739111,42.38543144756398
1410,15.672569869000327,42.521988734313666
1420,28.684368322369448,47.39400872646079
1430,57.24494557175292,43.758158798057124
1440,87.30331996147288,53.452498342321995
1450,-3.3182813845371655,40.566095734726275
1460,19.736342689271815,24.240932773475343
1470,-17.374508784151995,27.19855186012044
1480,94.08324389536304,39.287754450365
1490,36.846347468542234,34.43887723217648
1500,41.64790123578705,49.458653201438175
1510,22.755650404608637,29.690369009065144
1520,37.746094193329334,44.052187564508515
1530,78.32524845513328,32.320007701780625
1540,78.21360898041797,69.43732878207436
1550,69.46947495587379,26.40173475374396
1560,101.28935763886196,48.892321868083584
1570,51.25291822220583,48.48186915688221
1580,38.39911956323346,37.066476331767255
1590,-9.637986810751208,33.26149259112352
1600,40.348300145623575,39.747140744151906
1610,61.6326393897765,39.18799549368942
1620,-28.587057841386887,39.25870180318548
1630,-3.593824484915835,48.42634797132685
1640,74.46176230719921,24.10612368576589
1650,40.086842887143746,24.53239208949707
1660,-18.18585696356644,56.33088136692324
1670,24.21731626359027,39.184273761698115
1680,23.965336512374137,29.738327713467914
1690,5.165870133376629,29.59059863237129
1700,-11.385125287976255,32.15211002931522
1710,34.01976128376667,17.535329468372886
1720,81.48305856558707,50.87153804765736
1730,97.91605785353892,38.74198656179715
1740,56.562523180227345,34.07522106884636
1750,15.111478599832385,40.72206381625607
1760,-8.030252141366418,37.08621750682558
1770,66.97933840765728,30.44383646993548
1780,67.81370566868193,38.535657662391394
1790,33.25430321718713,21.56174779753654
1800,18.025664122317753,39.44703569126453
1810,-11.14382129923084,44.76085441313471
1820,104.50199927790484,27.41825602911756
1830,117.84701015457662,48.69623339301821
1840,46.425276815561986,33.9467504172528
1850,85.78108313689395,50.19501675308783
1860,28.994599834384378,44.73837600893123
1870,39.23986309403081,22.721126255705787
1880,5.787699206073217,44.551424945330766
1890,49.03166618120648,45.51300504414267
1900,69.19251972154092,44.31427324387803
1910,113.891263456544,44.56820403805173
1920,25.59494071295788,69.93484928003433
1930,86.30379998567884,63.064300045641744
1940,110.66811412795363,36.5148843182962
1950,65.77175426480099,30.82822383316934
1960,92.37749461669935,37.62947832737738
1970,25.906286547728463,46.69557875292116
1980,89.38126069553431,35.876668442042636
1990,9.946028667729518,36.45936187888076
2000,96.2399493119267,61.84089841781257
Epoch,Epoch Reward,Avg Reward (last 10)
10,24.355953740343057,38.89215469137897
20,14.244887755003713,43.89589174970025
30,47.560982926044275,40.39594994537287
40,57.463861517332745,37.238986253853625
