Average Episodic Reward,Average Episodic N-Reward
19578.27527262582,19578.27527262582
19295.24255626949,19295.24255626949
19496.350832909382,19496.350832909382
19407.78787651938,19407.78787651938
Average Episodic Reward,Average Episodic N-Reward
19578.27527262582,19578.27527262582
19295.24255626949,19295.24255626949
19496.350832909382,19496.350832909382
19407.78787651938,19407.78787651938
19624.631278921905,19624.631278921905
19544.701749528787,19544.701749528787
19518.502585894388,19518.502585894388
19300.04238980719,19300.04238980719
19544.66873972425,19544.66873972425
19667.21655523692,19667.21655523692
19537.62550484771,19537.62550484771
19726.88611584475,19726.88611584475
19543.960795475534,19543.960795475534
19565.430255369258,19565.430255369258
19487.97036107617,19487.97036107617
19329.050905154018,19329.050905154018
19448.653088762097,19448.653088762097
19265.180280338427,19265.180280338427
19433.021386215558,19433.021386215558
19528.15252636524,19528.15252636524
19545.562286534678,19545.562286534678
19461.793344281443,19461.793344281443
19506.03489291606,19506.03489291606
19566.6166104807,19566.6166104807
19542.988677599675,19542.988677599675
19559.349934799768,19559.349934799768
19439.06838580218,19439.06838580218
19488.547540785992,19488.547540785992
19529.112919563948,19529.112919563948
19309.40772909272,19309.40772909272
19305.03080591399,19305.03080591399
19425.27352751129,19425.27352751129
19466.772087189547,19466.772087189547
19490.488705741227,19490.488705741227
19661.998374698524,19661.998374698524
19200.349570206952,19200.349570206952
19394.05927922679,19394.05927922679
19416.079987519708,19416.079987519708
19405.316057856468,19405.316057856468
19533.295764249535,19533.295764249535
19641.222432389302,19641.222432389302
19349.20211266119,19349.20211266119
19427.32525140665,19427.32525140665
19666.773186989958,19666.773186989958
19628.065078775984,19628.065078775984
19491.38562874277,19491.38562874277
19509.892146717968,19509.892146717968
19795.804412052188,19795.804412052188
19498.242046704636,19498.242046704636
19400.363290208414,19400.363290208414
19290.03890753068,19290.03890753068
28114.73684150016,28114.73684150016
29887.640763947427,29887.640763947427
31151.917384969664,31151.917384969664
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31530.487526230347,31530.487526230347
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31523.60341064343,31523.60341064343
31544.327926619397,31544.327926619397
31527.04546843689,31527.04546843689
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31527.04546843689,31527.04546843689
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31520.12526824236,31520.12526824236
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31527.485352743537,31527.485352743537
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31530.487526230347,31530.487526230347
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31523.567326035816,31523.567326035816
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31520.12526824236,31520.12526824236
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31523.60341064343,31523.60341064343
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31523.60341064343,31523.60341064343
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31530.487526230347,31530.487526230347
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31530.487526230347,31530.487526230347
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31537.407726424866,31537.407726424866
31523.60341064343,31523.60341064343
31544.327926619397,31544.327926619397
31530.487526230347,31530.487526230347
31527.04546843689,31527.04546843689
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31520.12526824236,31520.12526824236
31527.04546843689,31527.04546843689
31527.04546843689,31527.04546843689
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31527.04546843689,31527.04546843689
31530.487526230347,31530.487526230347
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31516.68321044891,31516.68321044891
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31530.487526230347,31530.487526230347
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31533.96566863142,31533.96566863142
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31533.96566863142,31533.96566863142
31530.487526230347,31530.487526230347
31533.96566863142,31533.96566863142
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31527.04546843689,31527.04546843689
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31537.407726424866,31537.407726424866
31530.487526230347,31530.487526230347
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
31544.327926619397,31544.327926619397
31544.327926619397,31544.327926619397
31537.407726424866,31537.407726424866
Average Episodic Reward,Average Episodic N-Reward
37733.763622799896,37733.763622799896
37667.14021808309,37667.14021808309
