Epoch,Epoch Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward,Replay Buffer Size
5,208.95433707351594,217.18517202425355,217.18517202425355,251.76551376080153,159
10,327.0190612290874,238.17343125464714,238.17343125464714,327.0190612290874,320
15,345.1992970239329,295.0668021752016,269.1062587915523,345.1992970239329,487
20,336.3994062605403,326.7364948511814,282.4549630529142,345.1992970239329,656
25,265.8256007383389,324.38676018765466,291.2184593499932,356.59892288832344,829
30,327.3171000016147,325.8001136950812,296.9033466003033,356.59892288832344,993
35,280.92704161642655,325.326874140158,300.9637207186118,359.999195555488,1159
40,327.9903993846307,323.1462935630396,303.4640833409873,359.999195555488,1328
45,295.8283083344396,323.9994463052389,306.0827708489733,359.999195555488,1499
50,335.81342071819915,327.35767349036115,308.2428013708621,359.999195555488,1672
55,327.46459866544535,325.2356687825847,318.80311031816757,359.999195555488,1838
60,339.39936139387646,320.21328756961896,324.6507726338565,359.999195555488,2003
65,289.9010135490505,319.08412599923986,323.60657508297527,359.999195555488,2169
70,316.4394048068404,318.6676603453223,323.03700573268463,359.999195555488,2334
75,318.28984444652724,327.3713248992938,324.2034880253031,359.999195555488,2506
80,309.6582483373499,325.03176327126505,322.88333564792146,359.999195555488,2672
85,333.218661558275,323.69937375431425,323.8779879481343,359.999195555488,2843
90,336.46258435796136,327.76109088259807,323.8062951118331,359.999195555488,3010
95,341.5454337291256,318.7303178425823,322.82416225560297,359.999195555488,3173
100,321.7671734895804,316.3665306168817,321.60806653713723,359.999195555488,3343
105,307.13811621009256,313.1376722024618,320.4045629395784,379.9024090681426,3514
110,286.6351379536703,313.55571938208135,320.2765528996296,379.9024090681426,3681
115,299.9552069309711,323.30043874243796,321.247825488218,379.9024090681426,3853
120,336.3991452630236,326.3276397592434,321.8085487824139,379.9024090681426,4016
125,281.8972594853082,323.7917830538449,320.53191711912825,379.9024090681426,4187
130,316.31036611056624,325.2503437190612,321.85226487197315,379.9024090681426,4356
135,318.2054512748626,326.56431249525804,321.1049048673169,379.9024090681426,4530
140,312.46835857548047,327.22156471167347,321.74435963778825,379.9024090681426,4702
