Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-418.79047033455805,-418.79047033455805,-372.99628630423365,-372.99628630423365,-372.99628630423365
-422.66145751011993,-422.66145751011993,-396.9231847070095,-396.9231847070095,-372.99628630423365
-420.22190747946394,-420.22190747946394,-354.48952906270375,-354.48952906270375,-269.62221777409235
-411.0890261150885,-411.0890261150885,-385.1219949799911,-385.1219949799911,-269.62221777409235
-409.04525177055467,-409.04525177055467,-390.9487558169371,-390.9487558169371,-269.62221777409235
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-418.79047033455805,-418.79047033455805,-372.99628630423365,-372.99628630423365,-372.99628630423365
-422.66145751011993,-422.66145751011993,-396.9231847070095,-396.9231847070095,-372.99628630423365
-420.22190747946394,-420.22190747946394,-354.48952906270375,-354.48952906270375,-269.62221777409235
-411.0890261150885,-411.0890261150885,-385.1219949799911,-385.1219949799911,-269.62221777409235
-409.04525177055467,-409.04525177055467,-390.9487558169371,-390.9487558169371,-269.62221777409235
-424.73856098921425,-424.73856098921425,-409.0972489380044,-409.0972489380044,-269.62221777409235
-421.6261690976436,-421.6261690976436,-402.6961184760115,-402.6961184760115,-269.62221777409235
-420.1151227572524,-420.1151227572524,-389.44333105970424,-389.44333105970424,-269.62221777409235
-408.2527298316459,-408.2527298316459,-371.69352449166433,-371.69352449166433,-229.69507194734524
-417.5072289378515,-417.5072289378515,-374.7745089278625,-374.7745089278625,-229.69507194734524
-420.29793516566986,-420.29793516566986,-370.7717345139012,-370.97396649484057,-229.69507194734524
-415.3643592320673,-415.3643592320673,-356.5205479970531,-363.25432078204585,-229.69507194734524
-414.7125476452844,-414.7125476452844,-369.8835837592172,-366.33110959848335,-229.69507194734524
-417.35787020724837,-417.35787020724837,-372.1656159403659,-375.86743852311605,-229.69507194734524
-415.59818317257555,-415.59818317257555,-371.99757807295975,-378.3146373209523,-229.69507194734524
-417.3852761400613,-417.3852761400613,-369.05015078142185,-384.0678125901403,-229.69507194734524
-413.7521070260692,-413.7521070260692,-360.6502591902145,-377.9632600726015,-229.69507194734524
-420.05301598569235,-420.05301598569235,-378.0950543249332,-383.13873287372036,-229.69507194734524
-406.25113635831053,-406.25113635831053,-383.6969791992827,-378.0111322325161,-229.69507194734524
-410.37379020012304,-410.37379020012304,-379.500398130618,-377.1374535292403,-229.69507194734524
-408.92010942053525,-408.92010942053525,-392.9168507449797,-381.4229589949068,-229.69507194734524
-416.7486008221217,-416.7486008221217,-398.68664816477553,-379.359924137832,-229.69507194734524
-411.1921706174159,-411.1921706174159,-387.0430370334478,-375.33629543977213,-229.69507194734524
-413.8372853232802,-413.8372853232802,-378.6611105110358,-377.0314685180826,-229.69507194734524
-414.8199504404165,-414.8199504404165,-379.30003376414345,-378.7087958982287,-229.69507194734524
-398.51174732495855,-398.51174732495855,-379.35501330874246,-382.2551974819104,-229.69507194734524
-404.6752051174836,-404.6752051174836,-383.4151845342328,-379.98249135468717,-229.69507194734524
-403.49234753336236,-403.49234753336236,-379.9068307031161,-381.98448209850454,-229.69507194734524
-410.221481628675,-410.221481628675,-395.6217096479509,-384.08374513439014,-229.69507194734524
-413.8168454510427,-413.8168454510427,-397.376953456389,-383.88395350495654,-229.69507194734524
-404.0359451299407,-404.0359451299407,-399.2131585690731,-387.16173305108947,-229.69507194734524
-403.4981572578477,-403.4981572578477,-404.3377344266224,-387.165489853079,-229.69507194734524
-392.20425104817156,-392.20425104817156,-422.3417134586728,-389.5803615061057,-229.69507194734524
-388.9614128761183,-388.9614128761183,-425.7497629649712,-391.3603786495204,-229.69507194734524
-386.88657430757235,-386.88657430757235,-429.2637622388479,-393.1530719955485,-229.69507194734524
-389.2861673695812,-389.2861673695812,-421.71649598544525,-393.21666928844786,-229.69507194734524
-378.0106051905801,-378.0106051905801,-420.42548759048185,-390.913030877875,-229.69507194734524
-384.2934735000903,-384.2934735000903,-423.1441771815971,-392.8159808045816,-229.69507194734524
-395.059444629641,-395.059444629641,-409.8265510644188,-390.6844646036283,-229.69507194734524
-384.7408669374543,-384.7408669374543,-413.70896974017006,-391.3402075637599,-229.69507194734524
-391.0579342502761,-391.0579342502761,-402.8138540361633,-390.97932353525385,-229.69507194734524
