step,bc_loss,ql_loss,actor_loss,critic_loss
0,0.967085063457489,1.1418486833572388,2.108933687210083,2568.97412109375
1,1.1420609951019287,0.7667577266693115,1.9088187217712402,1437.39404296875
2,0.9840869307518005,0.2228374183177948,1.206924319267273,2386.733154296875
3,0.9303690791130066,-0.30577316880226135,0.6245958805084229,1534.8021240234375
4,1.0178582668304443,-0.8959043622016907,0.12195390462875366,1757.061279296875
5,0.8906307220458984,-0.26938706636428833,0.6212436556816101,1504.125244140625
6,1.0534913539886475,-0.8642346858978271,0.1892566680908203,3028.251953125
7,1.0377438068389893,-0.5550206303596497,0.4827231764793396,2168.8515625
8,1.0131406784057617,-0.6955649852752686,0.31757569313049316,2147.8798828125
9,1.095381498336792,-1.266616702079773,-0.17123520374298096,1746.41943359375
10,0.9490989446640015,-0.6546478867530823,0.2944510579109192,1975.3614501953125
11,0.848507285118103,-1.0490607023239136,-0.20055341720581055,1464.063232421875
12,0.9650897979736328,-0.7980523109436035,0.1670374870300293,1333.0859375
13,0.8572850227355957,-1.1198004484176636,-0.26251542568206787,1947.9415283203125
14,0.9851648807525635,-0.768102765083313,0.2170621156692505,1279.963623046875
15,1.0600833892822266,-1.0276978015899658,0.03238558769226074,1124.58642578125
16,0.9539334177970886,-1.136775255203247,-0.18284183740615845,1783.877197265625
17,0.9964739680290222,-1.0183043479919434,-0.021830379962921143,1063.937744140625
18,1.0054876804351807,-1.1333280801773071,-0.12784039974212646,1058.9305419921875
19,0.9546933174133301,-1.1190942525863647,-0.16440093517303467,1627.212890625
20,1.0392436981201172,-0.9069591760635376,0.1322845220565796,985.4219970703125
21,0.8795261383056641,-0.9569118022918701,-0.07738566398620605,1575.0362548828125
22,0.9918254613876343,-0.924127459526062,0.06769800186157227,615.7513427734375
23,1.130767822265625,-1.0538443326950073,0.07692348957061768,642.766357421875
24,0.9941926002502441,-1.0210239887237549,-0.026831388473510742,1920.30810546875
25,1.0740288496017456,-0.9815773963928223,0.09245145320892334,1333.2783203125
26,0.9829916954040527,-0.9640030860900879,0.018988609313964844,1195.798095703125
27,0.8783048391342163,-0.9981039762496948,-0.11979913711547852,1114.0260009765625
28,1.0521601438522339,-0.9497477412223816,0.1024124026298523,390.185791015625
29,0.9632572531700134,-1.0208098888397217,-0.05755263566970825,348.9632568359375
30,1.1202802658081055,-1.0202088356018066,0.10007143020629883,352.0264587402344
31,0.9763137102127075,-1.0157856941223145,-0.039471983909606934,310.8477478027344
32,0.8872945308685303,-1.0129269361495972,-0.1256324052810669,1329.807373046875
33,1.142805576324463,-0.9753811955451965,0.16742438077926636,768.3555908203125
34,1.091646671295166,-0.9787555932998657,0.11289107799530029,737.7005615234375
35,1.0909678936004639,-1.0372707843780518,0.05369710922241211,222.27699279785156
36,1.211095929145813,-1.0298081636428833,0.1812877655029297,171.22283935546875
37,1.1785328388214111,-0.9361871480941772,0.2423456907272339,255.42198181152344
38,1.0402837991714478,-1.0699536800384521,-0.029669880867004395,798.5928344726562
39,1.054077386856079,-0.9308713674545288,0.12320601940155029,286.40191650390625
40,1.2152364253997803,-1.0420551300048828,0.17318129539489746,799.5146484375
41,1.1323559284210205,-1.0883500576019287,0.0440058708190918,321.505615234375
42,1.1323143243789673,-1.0893992185592651,0.04291510581970215,743.132080078125
43,1.057831048965454,-0.9274905323982239,0.13034051656723022,684.638916015625
44,0.9705960154533386,-0.9103462100028992,0.06024980545043945,283.2344970703125
45,1.0367631912231445,-1.0768017768859863,-0.0400385856628418,234.65135192871094
46,1.1815197467803955,-1.0797761678695679,0.10174357891082764,313.3082275390625
47,1.2168251276016235,-0.9158728718757629,0.3009522557258606,291.9909973144531
48,1.0924468040466309,-0.9289758801460266,0.16347092390060425,719.604736328125
49,1.0901527404785156,-0.9239823818206787,0.16617035865783691,190.5357208251953
50,1.0402848720550537,-0.9409186244010925,0.09936624765396118,183.8581085205078
51,1.046266794204712,-1.050905466079712,-0.004638671875,652.19287109375
52,0.9417974352836609,-1.1021908521652222,-0.16039341688156128,251.3457794189453
53,0.9346310496330261,-0.926120936870575,0.008510112762451172,1253.052978515625
54,0.9686917066574097,-0.9153542518615723,0.0533374547958374,291.4873046875
55,1.0256788730621338,-0.9160412549972534,0.10963761806488037,217.0105743408203
56,1.145998477935791,-1.1023637056350708,0.043634772300720215,249.960205078125
57,1.1862391233444214,-1.0863970518112183,0.09984207153320312,716.1150512695312
58,1.0379239320755005,-1.0844591856002808,-0.04653525352478027,795.250244140625
59,0.9254357218742371,-0.9116817712783813,0.013753950595855713,170.67886352539062
60,1.0039536952972412,-0.9317245483398438,0.07222914695739746,611.3948974609375
61,0.9829214811325073,-1.0794328451156616,-0.0965113639831543,205.37380981445312
62,0.9507596492767334,-0.9367709159851074,0.013988733291625977,222.87127685546875
63,1.0516448020935059,-0.9374483227729797,0.11419647932052612,227.7663116455078
64,0.9422569274902344,-0.9376371502876282,0.004619777202606201,227.46914672851562
65,1.0703601837158203,-0.9154598712921143,0.15490031242370605,229.32113647460938
66,1.0686302185058594,-0.9281817674636841,0.1404484510421753,276.172119140625
67,0.9977434873580933,-1.086208462715149,-0.08846497535705566,1068.65283203125
68,0.9803042411804199,-0.9221360087394714,0.058168232440948486,255.12567138671875
69,1.1101187467575073,-1.0864695310592651,0.023649215698242188,217.1858367919922
70,1.1006648540496826,-0.9266090393066406,0.174055814743042,201.6396942138672
71,1.0273715257644653,-0.9306432008743286,0.09672832489013672,166.60272216796875
