Average Episodic Reward,Average Episodic N-Reward
11689.618130935914,11689.618130935914
11441.837703979381,11441.837703979381
11116.440938379776,11116.440938379776
11623.813924619119,11623.813924619119
11287.100583316493,11287.100583316493
11315.044235631334,11315.044235631334
11492.736223280972,11492.736223280972
11181.772146827125,11181.772146827125
11793.624790303757,11793.624790303757
11363.884732718438,11363.884732718438
10889.360591500728,10889.360591500728
11535.31861440064,11535.31861440064
11453.577742493011,11453.577742493011
11094.508841267927,11094.508841267927
11831.549432972079,11831.549432972079
12106.801553232859,12106.801553232859
11614.306829660149,11614.306829660149
11093.757005951436,11093.757005951436
11373.18383641066,11373.18383641066
11503.500963646622,11503.500963646622
11344.043409364102,11344.043409364102
11501.566334997871,11501.566334997871
11682.780133919327,11682.780133919327
11681.572011396383,11681.572011396383
11205.862224592702,11205.862224592702
11621.510969843233,11621.510969843233
11808.771788689879,11808.771788689879
11432.57162309703,11432.57162309703
11778.231071622618,11778.231071622618
Average Episodic Reward,Average Episodic N-Reward
11689.618130935914,11689.618130935914
11441.837703979381,11441.837703979381
11116.440938379776,11116.440938379776
11623.813924619119,11623.813924619119
11287.100583316493,11287.100583316493
11315.044235631334,11315.044235631334
11492.736223280972,11492.736223280972
11181.772146827125,11181.772146827125
11793.624790303757,11793.624790303757
11363.884732718438,11363.884732718438
10889.360591500728,10889.360591500728
11535.31861440064,11535.31861440064
11453.577742493011,11453.577742493011
11094.508841267927,11094.508841267927
11831.549432972079,11831.549432972079
12106.801553232859,12106.801553232859
11614.306829660149,11614.306829660149
11093.757005951436,11093.757005951436
11373.18383641066,11373.18383641066
11503.500963646622,11503.500963646622
11344.043409364102,11344.043409364102
11501.566334997871,11501.566334997871
11682.780133919327,11682.780133919327
11681.572011396383,11681.572011396383
11205.862224592702,11205.862224592702
11621.510969843233,11621.510969843233
11808.771788689879,11808.771788689879
11432.57162309703,11432.57162309703
11778.231071622618,11778.231071622618
11630.2250630335,11630.2250630335
11004.59161428981,11004.59161428981
10887.51943941993,10887.51943941993
11680.148559394309,11680.148559394309
11400.808492187378,11400.808492187378
11670.120778567716,11670.120778567716
11652.437692128959,11652.437692128959
11062.956743143388,11062.956743143388
11008.897593068092,11008.897593068092
11313.886400679592,11313.886400679592
11701.070720698981,11701.070720698981
11570.221257648076,11570.221257648076
11979.907743855165,11979.907743855165
11121.336188999052,11121.336188999052
11692.249203214089,11692.249203214089
11296.212930784894,11296.212930784894
11928.313118698818,11928.313118698818
11603.23319201139,11603.23319201139
11156.39240513602,11156.39240513602
11245.764255715525,11245.764255715525
11176.191511337769,11176.191511337769
11816.437751389647,11816.437751389647
11742.44441683833,11742.44441683833
11582.43009201632,11582.43009201632
11114.790951697105,11114.790951697105
11375.270269230576,11375.270269230576
11057.37322161997,11057.37322161997
11285.907765769385,11285.907765769385
11027.415928856228,11027.415928856228
11891.559271053882,11891.559271053882
11554.58942215691,11554.58942215691
11215.94232124485,11215.94232124485
11503.547086662851,11503.547086662851
11702.283695513885,11702.283695513885
11692.368292906056,11692.368292906056
11464.815957541123,11464.815957541123
11481.776950065898,11481.776950065898
11679.67849636446,11679.67849636446
10987.010782325357,10987.010782325357
11077.673112812037,11077.673112812037
11095.812099041561,11095.812099041561
11609.857992845606,11609.857992845606
11303.083358192973,11303.083358192973
11589.69872257763,11589.69872257763
11245.051408734304,11245.051408734304
11203.961468814945,11203.961468814945
11534.468582695436,11534.468582695436
11123.839626961893,11123.839626961893
11312.680962937791,11312.680962937791
11424.484286756815,11424.484286756815
11610.832855550221,11610.832855550221
11639.441365236058,11639.441365236058
11372.488044479918,11372.488044479918
11186.884316260064,11186.884316260064
11422.872070574665,11422.872070574665
10858.893946405116,10858.893946405116
11604.784061297743,11604.784061297743
11619.38404862859,11619.38404862859
11689.724812261273,11689.724812261273
11265.259275073646,11265.259275073646
11782.895174805572,11782.895174805572
11572.548128390568,11572.548128390568
11344.823217576863,11344.823217576863
10908.766040391605,10908.766040391605
11157.45498427356,11157.45498427356
11927.403935710981,11927.403935710981
11671.52531979109,11671.52531979109
11651.21352640405,11651.21352640405
11214.766468282956,11214.766468282956
11173.802159909297,11173.802159909297
11302.403450156611,11302.403450156611
11187.280025134894,11187.280025134894
11313.165253819692,11313.165253819692
11294.72346631111,11294.72346631111
11335.51315475801,11335.51315475801
11316.671012654382,11316.671012654382
11244.973399648668,11244.973399648668
11311.693570241176,11311.693570241176
11632.602667537956,11632.602667537956
11216.763522484845,11216.763522484845
11811.671444433478,11811.671444433478
11651.023167730165,11651.023167730165
11493.866760258876,11493.866760258876
10957.55920968148,10957.55920968148
11650.758752725558,11650.758752725558
11037.8709006387,11037.8709006387
11377.496840741142,11377.496840741142
11174.91464191462,11174.91464191462
