Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
576.7591612407034,576.7591612407034,735.1106768264956,735.1106768264956,735.1106768264956
583.5818195349004,583.5818195349004,713.4707464987624,713.4707464987624,735.1106768264956
586.0267195812667,586.0267195812667,661.4723134803895,661.4723134803895,735.1106768264956
599.9133921088631,599.9133921088631,653.8663425774687,653.8663425774687,735.1106768264956
588.478574586583,588.478574586583,644.1193935152405,644.1193935152405,735.1106768264956
594.0944576941134,594.0944576941134,628.6183707402963,628.6183707402963,735.1106768264956
587.7822238144639,587.7822238144639,614.1374913625177,614.1374913625177,735.1106768264956
585.2963700369971,585.2963700369971,622.9110934187099,622.9110934187099,735.1106768264956
588.1543431682283,588.1543431682283,610.7787997473099,610.7787997473099,735.1106768264956
586.4188329450162,586.4188329450162,601.0315033902527,601.0315033902527,735.1106768264956
582.3711586005553,582.3711586005553,586.3115494198203,599.838742820427,735.1106768264956
597.5835514819638,597.5835514819638,585.9585274178044,607.2105639312973,735.1106768264956
586.7463427355964,586.7463427355964,587.2541601190335,604.3814262793463,735.1106768264956
576.4813050258248,576.4813050258248,592.9901234732646,610.3833289316086,735.1106768264956
588.3616853335099,588.3616853335099,590.6106226859664,608.4468796290578,735.1106768264956
582.8769244318918,582.8769244318918,593.8172342832165,606.8676604546214,735.1106768264956
601.3417473961472,601.3417473961472,579.5678497794494,593.8024080783598,735.1106768264956
595.6305795275163,595.6305795275163,564.7511572200208,590.6000177527716,735.1106768264956
586.0037394227398,586.0037394227398,574.8028563950636,591.8440927198118,735.1106768264956
598.9032914196712,598.9032914196712,574.4677851336894,587.7496442619711,735.1106768264956
594.9735252804612,594.9735252804612,570.8553510571703,586.0371276950666,735.1106768264956
585.9205114215785,585.9205114215785,566.331385136439,588.6291190245436,735.1106768264956
582.846463470222,582.846463470222,572.30070179086,590.4332851973958,735.1106768264956
577.8375207366863,577.8375207366863,564.238704860247,591.156402235208,735.1106768264956
603.3598049443892,603.3598049443892,574.488327329281,594.863458709147,735.1106768264956
573.6643494584833,573.6643494584833,571.0376200726438,593.0868756923223,735.1106768264956
583.9310752442691,583.9310752442691,582.3356360135014,589.5554554617456,735.1106768264956
581.1203104465051,581.1203104465051,607.2027518622614,596.529565649018,784.8305407053708
609.0949054771521,609.0949054771521,598.4295568330745,594.1149424140405,784.8305407053708
605.4051324416708,605.4051324416708,600.5519744709717,592.0170876649714,784.8305407053708
601.7130154653704,601.7130154653704,607.67764315835,593.0179391348356,784.8305407053708
601.3811857379526,601.3811857379526,587.5548507250654,588.2934101809567,784.8305407053708
630.987537817927,630.987537817927,569.9853610485493,584.2369445462301,784.8305407053708
623.8970718496014,623.8970718496014,568.0108301228842,584.3488810257011,784.8305407053708
632.9023509990858,632.9023509990858,548.5972852459952,581.6445520053894,784.8305407053708
614.1486252065755,614.1486252065755,558.0534438786286,583.3553668551853,784.8305407053708
634.6050645942473,634.6050645942473,583.2262914101443,587.8448705829345,784.8305407053708
